347865941, 1
593028174, 2
826491305, 3
471903582, 1
682759314, 2
905371246, 3
314968725, 1
758204913, 2
690412837, 3
483920671, 1
729405186, 2
531762498, 3
862094351, 1
405193827, 2
973604182, 3
648297350, 1
290571463, 2
517408926, 3
834620517, 1
761593248, 2
402985137, 3
985317204, 1
624170953, 2
719354802, 3
356819247, 1
840275196, 2
578361942, 3
694028153, 1
912407635, 2
437196820, 3
780325149, 1
602871439, 2
951628304, 3
314705826, 1
827406915, 2
590371824, 3
168295743, 1
745982361, 2
380614925, 3
964205731, 1
257918463, 2
619472850, 3
803147592, 1
472086351, 2
730194862, 3
548913720, 1
291857463, 2
865024719, 3
604731928, 1
793582410, 2
418695273, 3
902736451, 1
367140928, 2
741092536, 3
859314027, 1
506742198, 2
213985746, 3
678240593, 1
980473126, 2
425971830, 3
734160982, 1
592817304, 2
869305247, 3
147903628, 1
753182460, 2
681240795, 3
490715236, 1
872503419, 2
315794268, 3
964120583, 1
208746951, 2
735018462, 3
581963740, 1
907351284, 2
362408915, 3
748195603, 1
619083572, 2
853729104, 3
294617835, 1
760238149, 2
530192864, 3
917463205, 1
482710936, 2
629804751, 3
371658204, 1
805274193, 2
968205317, 3
413829765, 1
750316928, 2
681947230, 3
302918574, 1
864271395, 2
197350864, 3
570483216, 1
918206743, 2
623905174, 3
407682931, 1
859032147, 2
216897540, 3
742160938, 1
